,code
639,600371
640,600438
641,600467
642,600506
643,600540
644,600598
645,600965
646,600975
647,601996
648,603609
649,000048
650,000061
651,000592
652,000663
653,000702
654,000713
655,000735
656,000798
657,000876
658,000998
659,002041
660,002069
661,002086
662,002100
663,002124
664,002157
665,002173
666,002234
667,002299
668,002311
669,002321
670,002385
671,002447
672,002458
673,002477
674,002505
675,002548
676,002567
677,002679
678,002696
679,002714
680,002746
681,300021
682,300087
683,300094
684,300106
685,300143
686,300189
687,300268
688,300313
689,300381
690,600039
691,600068
692,600170
693,600248
694,600284
695,600321
696,600326
697,600491
698,600502
699,600512
700,600528
701,600545
702,600634
703,600681
704,600820
705,600853
706,600970
707,600986
708,601117
709,601186
710,601390
711,601618
712,601668
713,601669
714,601789
715,601800
716,601886
717,603017
718,603018
719,603030
720,603828
721,603969
722,000010
723,000023
724,000055
725,000065
726,000090
727,000498
728,000509
729,000619
730,000786
731,000928
732,000961
733,002043
734,002047
735,002051
736,002060
737,002062
738,002066
739,002081
740,002116
741,002135
742,002140
743,002163
744,002178
745,002205
746,002225
747,002247
748,002271
749,002307
750,002310
751,002314
752,002325
753,002372
754,002375
755,002392
756,002398
757,002431
758,002468
759,002469
760,002482
761,002542
762,002586
763,002596
764,002620
765,002628
766,002652
767,002659
768,002663
769,002671
770,002713
771,002717
772,002738
773,002742
774,300080
775,300117
776,300163
777,300284
778,300344
779,300374
780,600143
781,600146
782,600444
783,600458
784,600589
785,603806
786,000407
787,000859
788,000973
789,002002
790,002108
791,002243
792,002263
793,002324
794,002343
795,002420
796,002457
797,002464
798,002522
799,002585
800,002641
801,002676
802,002694
803,002735
804,300169
805,300198
806,300218
807,300221
808,300230
809,300305
810,300321
811,300325
812,300393
813,600056
814,600122
815,600136
816,600280
817,600306
818,600327
819,600361
820,600415
821,600511
822,600515
823,600628
824,600655
825,600682
826,600693
827,600694
828,600697
829,600712
830,600713
831,600723
832,600729
833,600738
834,600753
835,600774
836,600778
837,600785
838,600790
839,600814
840,600821
841,600824
842,600827
843,600828
844,600833
845,600838
846,600856
847,600857
848,600858
849,600859
850,600861
851,600865
852,600891
853,600898
854,600998
855,601010
856,601116
857,601607
858,601933
859,603123
860,603368
861,603883
862,603939
863,000026
864,000028
865,000062
866,000408
867,000411
868,000416
869,000417
870,000419
871,000501
872,000516
873,000560
874,000564
875,000587
876,000591
877,000638
878,000679
879,000705
880,000715
881,000759
882,000785
883,000829
884,000882
885,000889
886,000906
887,000987
888,002024
889,002187
890,002251
891,002264
892,002277
893,002336
894,002344
895,002416
896,002419
897,002441
898,002462
899,002556
900,002561
901,002589
902,002697
903,300022
904,300413
905,600070
906,600152
907,600156
908,600220
909,600232
910,600370
911,600448
912,600493
913,600626
914,600630
915,600689
916,600735
917,600851
918,600987
919,601339
920,601599
921,603558
922,603889
923,000018
924,000045
925,000158
926,000611
927,000726
928,000779
929,000803
930,000813
931,000850
932,000955
933,000971
934,000982
935,002034
936,002042
937,002070
938,002072
